Date,Open*,High,Low,Close**,Volume,Market Cap
"Aug 09, 2018",44.8,47.8,42.69,47.27,"1,780,160","390,394,441"
"Aug 08, 2018",47.44,47.44,42.36,45.23,"1,963,460","368,633,654"
"Aug 07, 2018",49.66,50.95,47.21,47.35,"1,509,520","385,925,876"
"Aug 06, 2018",49.89,51.51,48.62,49.74,"1,358,750","405,404,181"
"Aug 05, 2018",50.4,51.45,49.61,49.84,"1,397,620","406,270,626"
"Aug 04, 2018",55.32,55.62,50.05,50.33,"1,919,250","410,227,093"
"Aug 03, 2018",53.61,56.13,51.35,55.04,"2,401,740","448,624,547"
"Aug 02, 2018",57.22,59.36,53.59,53.59,"2,191,790","436,817,908"
"Aug 01, 2018",56.28,57.32,54.25,57.27,"2,479,770","466,810,112"
"Jul 31, 2018",60.02,60.02,55.91,56.37,"2,583,760","459,469,374"
"Jul 30, 2018",63.46,63.88,58.55,60.17,"2,828,940","490,413,607"
"Jul 29, 2018",64.86,65.12,62.89,63.87,"2,689,740","520,570,460"
"Jul 28, 2018",64.16,65.14,62.84,64.25,"2,355,340","523,689,010"
"Jul 27, 2018",64.23,65.03,60.62,63.75,"3,749,360","519,642,068"
"Jul 26, 2018",66.45,66.71,63.31,64.14,"3,377,060","522,763,063"
"Jul 25, 2018",65.86,68.1,63.97,66.39,"2,893,070","541,144,251"
"Jul 24, 2018",68.03,71.08,62.71,67.04,"5,828,840","546,470,076"
"Jul 23, 2018",69.93,71.47,67.63,67.97,"3,137,300","553,985,244"
"Jul 22, 2018",72.28,73,68.83,70.02,"2,263,450","570,748,469"
"Jul 21, 2018",72.42,73.69,71.32,72.22,"2,552,970","585,053,116"
"Jul 20, 2018",72.98,74.31,70.85,72.64,"3,095,920","588,457,866"
"Jul 19, 2018",71.96,76.77,70.97,73.17,"3,353,710","592,768,281"
"Jul 18, 2018",75.57,76.99,71.04,72.09,"4,089,090","583,959,514"
"Jul 17, 2018",71.69,77.47,68.53,76.72,"5,271,680","621,498,437"
"Jul 16, 2018",63.34,71.6,62.26,71.6,"4,098,650","579,999,052"
"Jul 15, 2018",57.47,63.7,57.2,63.18,"3,206,810","511,805,231"
"Jul 14, 2018",57.24,57.82,55.83,57.68,"5,765,040","467,219,456"
"Jul 13, 2018",56.88,57.92,55.93,57.36,"10,925,200","440,486,268"
"Jul 12, 2018",59.44,59.69,55.75,57.02,"2,790,220","437,586,822"
