"Date","Open.","High","Low","Close..","Volume","Market.Cap","project","daychange","daychange_per","date"
"Sep 27, 2018",0.516478,0.550922,0.513967,0.541381,"824,083,000","21,585,351,654","Ripple",-0.024903,-4.82169618066985,2018-09-27
"Sep 26, 2018",0.520288,0.566711,0.491498,0.516308,"1,821,610,000","20,585,668,395","Ripple",0.00397999999999998,0.764960944707543,2018-09-26
"Sep 25, 2018",0.487622,0.546061,0.441519,0.526941,"1,639,680,000","21,009,615,753","Ripple",-0.039319,-8.06341797539898,2018-09-25
"Sep 24, 2018",0.570614,0.580377,0.489646,0.494712,"1,034,380,000","19,724,616,282","Ripple",0.075902,13.3018117326249,2018-09-24
"Sep 23, 2018",0.57522,0.595025,0.559651,0.570689,"1,043,970,000","22,718,597,839","Ripple",0.00453099999999995,0.787698619658557,2018-09-23
"Sep 22, 2018",0.565468,0.609112,0.495737,0.570798,"2,411,430,000","22,722,937,028","Ripple",-0.00533000000000006,-0.942582073609834,2018-09-22
"Sep 21, 2018",0.452836,0.76938,0.429052,0.561462,"4,101,490,000","22,351,279,558","Ripple",-0.108626,-23.987933821516,2018-09-21
"Sep 20, 2018",0.326441,0.477467,0.322347,0.449918,"1,291,360,000","17,910,816,754","Ripple",-0.123477,-37.8252119065926,2018-09-20
"Sep 19, 2018",0.320324,0.334734,0.313853,0.326053,"489,609,000","12,979,866,409","Ripple",-0.00572899999999998,-1.78850164208738,2018-09-19
"Sep 18, 2018",0.271452,0.332653,0.27101,0.32186,"600,216,000","12,812,946,983","Ripple",-0.050408,-18.5697655570782,2018-09-18
"Sep 17, 2018",0.281545,0.283361,0.268184,0.272251,"246,489,000","10,838,058,873","Ripple",0.00929399999999997,3.30107087676924,2018-09-17
"Sep 16, 2018",0.281723,0.281846,0.276549,0.281166,"197,009,000","11,192,956,724","Ripple",0.000556999999999974,0.197711936902551,2018-09-16
"Sep 15, 2018",0.277006,0.283564,0.276765,0.282008,"205,361,000","11,226,475,960","Ripple",-0.00500200000000001,-1.80573705984708,2018-09-15
"Sep 14, 2018",0.281184,0.284941,0.273855,0.277159,"269,029,000","11,033,441,784","Ripple",0.004025,1.43144702401275,2018-09-14
"Sep 13, 2018",0.270783,0.284655,0.267846,0.280583,"311,799,000","11,142,751,261","Ripple",-0.00980000000000003,-3.61913414062184,2018-09-13
"Sep 12, 2018",0.263166,0.272626,0.255756,0.270087,"298,449,000","10,725,925,163","Ripple",-0.00692100000000001,-2.62989899911083,2018-09-12
"Sep 11, 2018",0.270167,0.274917,0.255917,0.26371,"200,330,000","10,472,676,303","Ripple",0.00645699999999999,2.39000322023045,2018-09-11
"Sep 10, 2018",0.280237,0.282113,0.26382,0.270321,"204,958,000","10,735,217,970","Ripple",0.00991600000000004,3.53843354018207,2018-09-10
"Sep 09, 2018",0.278661,0.291261,0.274478,0.27868,"168,991,000","11,049,704,672","Ripple",-1.89999999999912e-05,-0.00681832046823604,2018-09-09
"Sep 08, 2018",0.291119,0.296207,0.273789,0.279333,"169,208,000","11,075,596,222","Ripple",0.011786,4.04851624249878,2018-09-08
"Sep 07, 2018",0.301431,0.305307,0.287287,0.291435,"213,961,000","11,555,442,375","Ripple",0.009996,3.31618181275317,2018-09-07
"Sep 06, 2018",0.2835,0.305327,0.276112,0.30271,"329,763,000","12,002,497,851","Ripple",-0.01921,-6.77601410934744,2018-09-06
"Sep 05, 2018",0.331465,0.3341,0.283601,0.283601,"344,488,000","11,244,823,075","Ripple",0.047864,14.440136967704,2018-09-05
"Sep 04, 2018",0.335184,0.34032,0.330305,0.331652,"241,419,000","13,150,052,583","Ripple",0.00353199999999998,1.05374958231896,2018-09-04
"Sep 03, 2018",0.343137,0.343684,0.334542,0.335961,"201,147,000","13,320,905,093","Ripple",0.00717600000000002,2.09129298210336,2018-09-03
"Sep 02, 2018",0.347323,0.349541,0.338393,0.342523,"240,907,000","13,581,089,398","Ripple",0.00479999999999997,1.38199888864255,2018-09-02
"Sep 01, 2018",0.335313,0.352657,0.334467,0.347721,"257,267,000","13,787,190,893","Ripple",-0.012408,-3.70042318669421,2018-09-01
"Aug 31, 2018",0.335474,0.338988,0.328373,0.335332,"219,139,000","13,295,965,146","Ripple",0.000141999999999975,0.0423281685018736,2018-08-31
"Aug 30, 2018",0.344546,0.34664,0.325641,0.335444,"263,925,000","13,300,405,964","Ripple",0.009102,2.64173724263233,2018-08-30
"Aug 29, 2018",0.350833,0.353745,0.341238,0.344803,"275,908,000","13,671,491,747","Ripple",0.00602999999999998,1.71876647863798,2018-08-29
"Aug 28, 2018",0.337527,0.356798,0.334971,0.351837,"329,550,000","13,939,151,831","Ripple",-0.01431,-4.23966082713383,2018-08-28
